Rank,Country,Population,% of world population,Date,Source
109,Lebanon,6825442,0.001,01-Jul-20,UN projection
110,Kyrgyzstan,6523500,0.001,01-Jan-20,National estimate
111,El Salvador,6486201,0.001,01-Jul-20,UN projection
112,Nicaragua,6460411,0.001,30-Jun-18,National estimate
113,Turkmenistan,6031187,0.001,01-Jul-20,UN projection
114,Denmark,5822763,0.001,01-Jan-20,National quarterly estimate
115,Singapore,5703600,0.001,30-Jun-19,National estimate
116,Finland,5527573,0.001,31-Dec-19,National monthly estimate
117,Congo,5518092,0.001,01-Jul-20,UN projection
118,Central African Republic,5496011,0.001,01-Jul-19,National annual projection
119,Slovakia,5456362,0.001,30-Sep-19,National estimate
120,Norway,5367580,0.001,01-Jan-20,National quarterly estimate
121,Costa Rica,5058007,0.001,30-Jun-19,National annual projection
122,Palestine,4976684,0.001,01-Jul-19,National annual projection
123,New Zealand,4971711,0.001,20-Mar-20,National population clock
124,Ireland,4921500,0.001,01-Apr-19,National estimate
125,Oman,4664790,0.001,01-Jan-20,National estimate
126,Liberia,4475353,0.001,01-Jul-19,National projection
127,Kuwait,4420110,0.001,01-Jan-19,National annual estimate
128,Panama,4218808,0.001,01-Jul-19,National annual projection
129,Mauritania,4077347,0.001,01-Jul-19,National annual projection
130,Croatia,4076246,0.001,31-Dec-18,National annual estimate
131,Georgia,3723464,0.000,01-Jan-19,National annual estimate
132,Uruguay,3518552,0.000,30-Jun-19,National annual projection
133,Eritrea,3497117,0.000,01-Jul-19,UN projection
134,Mongolia,3308460,0.000,20-Mar-20,National population clock
135,Bosnia and Herzegovina,3301000,0.000,01-Jul-19,UN projection
136,Puerto Rico (US),3193694,0.000,01-Jul-19,National estimate
137,Armenia,2957500,0.000,30-Sep-19,National quarterly estimate
138,Albania,2862427,0.000,01-Jan-19,National annual estimate
139,Lithuania,2793350,0.000,01-Feb-20,Monthly national estimate
140,Qatar,2747282,0.000,30-Sep-19,Monthly national estimate
141,Jamaica,2726667,0.000,31-Dec-18,National estimate
142,Moldova,2681735,0.000,01-Jan-19,National estimate
143,Namibia,2458936,0.000,01-Jul-19,National projection
144,Gambia,2347706,0.000,01-Jul-19,UN projection
145,Botswana,2338851,0.000,01-Jul-19,National annual projection
146,Gabon,2172579,0.000,01-Jul-19,UN projection
147,Slovenia,2094060,0.000,01-Oct-19,National estimate
148,North Macedonia,2077132,0.000,31-Dec-18,National estimate
149,Lesotho,2007201,0.000,10-Apr-16,2016 census result
150,Latvia,1906800,0.000,01-Feb-20,Monthly national estimate
151,Kosovo,1795666,0.000,31-Dec-18,National annual estimate
152,Guinea-Bissau,1604528,0.000,01-Jul-19,National annual projection
153,Bahrain,1543300,0.000,01-Jul-19,National annual projection
154,East Timor,1387149,0.000,01-Jul-19,National annual projection
155,Trinidad and Tobago,1363985,0.000,30-Jun-19,National estimate
156,Equatorial Guinea,1358276,0.000,01-Jul-18,National estimate
157,Estonia,1328360,0.000,01-Jan-20,National estimate
158,Mauritius,1265985,0.000,01-Jul-19,National estimate
159,Eswatini,1093238,0.000,11-May-17,National census result
160,Djibouti,1078373,0.000,01-Jul-19,National annual projection
161,Fiji,884887,0.000,17-Sep-17,National census result
162,Cyprus,875900,0.000,31-Dec-18,National annual estimate
163,Comoros,873724,0.000,01-Jul-19,National estimate
164,Guyana,782766,0.000,01-Jul-19,UN projection
165,Bhutan,741672,0.000,01-Jul-19,National annual projection
166,Solomon Islands,680806,0.000,01-Jul-19,National annual projection
167,Macau (China),679600,0.000,31-Dec-19,National quarterly estimate
168,Montenegro,622359,0.000,01-Jan-18,National estimate
169,Luxembourg,613894,0.000,01-Jan-19,National estimate
170,Western Sahara,582463,0.000,01-Jul-19,UN projection
171,Suriname,581372,0.000,01-Jul-19,UN projection
172,Cape Verde,550483,0.000,01-Jul-19,National annual projection
173,Malta,493559,0.000,31-Dec-18,National estimate
174,Transnistria,469000,0.000,01-Jan-18,National estimate
175,Brunei,442400,0.000,01-Jul-18,National estimate
176,Belize,408487,0.000,01-Jul-19,National estimate
177,Bahamas,385340,0.000,01-Jul-19,National annual projection
178,Maldives,374775,0.000,31-Dec-18,National annual estimate
179,Iceland,364260,0.000,31-Dec-19,National quarterly estimate
180,Northern Cyprus,351965,0.000,31-Dec-17,National estimate
181,Vanuatu,304500,0.000,01-Jul-18,National annual estimate
182,Barbados,287025,0.000,01-Jul-19,UN projection
183,New Caledonia (France),282200,0.000,01-Jan-18,National annual estimate
184,French Polynesia (France),275918,0.000,17-Aug-17,2017 census results
185,Abkhazia,244832,0.000,01-Jan-18,National estimate
186,São Tomé and Príncipe,201784,0.000,01-Jul-18,National estimate
187,Samoa,200874,0.000,01-Jul-19,National projection
188,Saint Lucia,178696,0.000,01-Jul-18,National annual estimate
189,Guam (US),172400,0.000,01-Jul-18,National annual estimate
190,Curaçao (Netherlands),158665,0.000,01-Jan-19,National annual estimate
191,Artsakh,148000,0.000,01-Jan-19,National annual estimate
192,Kiribati,120100,0.000,01-Jul-18,National annual estimate
193,Aruba (Netherlands),112309,0.000,31-Mar-19,National quarterly estimate
194,Grenada,112003,0.000,01-Jul-19,UN projection
195,Saint Vincent and the Grenadines,110608,0.000,01-Jul-19,National estimate
196,Jersey (UK),106800,0.000,31-Dec-18,National estimate
197,U.S. Virgin Islands (US),104578,0.000,01-Jul-19,UN projection
198,F.S. Micronesia,104468,0.000,01-Jul-19,National annual projection
199,Tonga,100651,0.000,30-Nov-16,2016 census result
200,Seychelles,97625,0.000,30-Jun-19,National estimate
